iter	Passed	Remaining
0	64	12845
1	65	6519
2	67	4405
3	68	3347
4	69	2715
5	70	2293
6	72	1990
7	73	1767
8	74	1591
9	76	1452
10	77	1335
11	79	1239
12	80	1162
13	87	1163
14	124	1530
15	125	1443
16	126	1365
17	128	1295
18	130	1239
19	133	1201
20	137	1169
21	138	1120
22	139	1076
23	141	1034
24	142	996
25	143	961
26	144	928
27	146	897
28	147	869
29	148	843
30	150	818
31	151	795
32	152	772
33	153	751
34	155	732
35	156	714
36	158	697
37	159	680
38	160	664
39	162	648
40	163	633
41	164	619
42	166	606
43	167	593
44	168	581
45	170	569
46	171	558
47	172	546
48	174	536
49	175	525
50	176	515
51	177	505
52	179	496
53	180	488
54	181	479
55	183	471
56	184	462
57	185	454
58	186	446
59	188	439
60	189	432
61	191	425
62	192	418
63	193	411
64	194	404
65	196	398
66	197	391
67	198	386
68	200	380
69	201	374
70	202	368
71	204	362
72	205	357
73	206	352
74	208	346
75	209	341
76	210	336
77	212	331
78	213	327
79	214	322
80	216	317
81	217	313
82	218	308
83	219	303
84	221	299
85	222	295
86	224	291
87	225	287
88	227	283
89	228	279
90	229	275
91	231	271
92	232	267
93	234	263
94	235	260
95	237	256
96	238	253
97	239	249
98	240	245
99	242	242
100	243	239
101	245	235
102	247	232
103	248	229
104	250	226
105	251	223
106	252	219
107	254	216
108	255	213
109	257	210
110	258	207
111	259	204
112	261	201
113	262	198
114	264	195
115	265	192
116	267	189
117	268	186
118	269	183
119	271	180
120	272	177
121	273	175
122	275	172
123	276	169
124	277	166
125	279	163
126	280	161
127	282	158
128	283	156
129	284	153
130	286	150
131	287	148
132	288	145
133	290	143
134	291	140
135	293	137
136	294	135
137	296	132
138	297	130
139	298	128
140	300	125
141	302	123
142	303	120
143	304	118
144	306	116
145	307	113
146	309	111
147	310	109
148	312	106
149	313	104
150	314	102
151	316	99
152	317	97
153	318	95
154	320	92
155	321	90
156	322	88
157	323	86
158	325	83
159	326	81
160	327	79
161	329	77
162	330	75
163	331	72
164	333	70
165	334	68
166	335	66
167	336	64
168	338	62
169	339	59
170	341	57
171	342	55
172	344	53
173	345	51
174	346	49
175	348	47
176	349	45
177	351	43
178	352	41
179	353	39
180	355	37
181	356	35
182	357	33
183	359	31
184	360	29
185	362	27
186	363	25
187	365	23
188	366	21
189	367	19
190	369	17
191	370	15
192	371	13
193	373	11
194	374	9
195	375	7
196	377	5
197	378	3
198	380	1
199	381	0
